ActivityStatus,AgesexGroup,AgesexGroup_1,ClosedBeds,CmdsAgesexMix,CmdsIntClCare,CmdsPtGroup,CmmLocationTypeDescriptionTruncated,CottedWard,DayBedUnit,Days,HospitalCode,IntensityOfCare,KarsIdCode,KornerCode,LocationType,MfRecStsInd,Nights,OwningWard,PatientGroup,PrintSequence,ProviderCode,PtGroupintOfCare,TimeAvailable,Ward,WardClassification,WardName,WardType,WardType_1
,,,BED01,,,,,,BED01,,,,,,,,,,,,RVK,,,,,,,
,,,BED02,,,,,,BED02,,,,,,,,,,,,RVK,,,,,,,
,,,BED03,,,,,,BED03,,,,,,,,,,,,RVK,,,,,,,
,,,BED04,,,,,,BED04,,,,,,,,,,,,RVK,,,,,,,
,,,BED05,,,,,,BED05,,,,,,,,,,,,RVK,,,,,,,
,,,BED06,,,,,,BED06,,,,,,,,,,,,RVK,,,,,,,
,,,BED07,,,,,,BED07,,,,,,,,,,,,RVK,,,,,,,
,,,BED08,,,,,,BED08,,,,,,,,,,,,RVK,,,,,,,
,,,BED09,,,,,,BED09,,,,,,,,,,,,RVK,,,,,,,
,,,BED10,,,,,,BED10,,,,,,,,,,,,RVK,,,,,,,
