record_number,system_code,external_system_id,waitlist_profile,description,list_no,consultant_code,treatment_type,admit_type,max_wait_months,avg_length_stay,admit_duration_hours,operation_duration_mins
1,SRC_PAS_V83,MRN10001,PRF01,Case note 1 - SMITH,1,C70000,P,E,18,3,2,90
2,SRC_PAS_V83,MRN10002,PRF02,Case note 2 - JONES,2,C70001,D,E,18,3,2,90
3,SRC_PAS_V83,MRN10003,PRF03,Case note 3 - PATEL,3,C70002,P,D,18,3,2,90
4,SRC_PAS_V83,MRN10004,PRF04,Case note 4 - WILLIAMS,4,C70003,D,D,18,3,2,90
5,SRC_PAS_V83,MRN10005,PRF05,Case note 5 - BROWN,5,C70004,D,E,18,3,2,90
6,SRC_PAS_V83,MRN10006,PRF06,Case note 6 - SHARMA,6,C70005,P,E,18,3,2,90
7,SRC_PAS_V83,MRN10007,PRF07,Case note 7 - TAYLOR,7,C70006,D,D,18,3,2,90
8,SRC_PAS_V83,MRN10008,PRF08,Case note 8 - AHMED,8,C70007,D,D,18,3,2,90
9,SRC_PAS_V83,MRN10009,PRF09,Case note 9 - DAVIS,9,C70008,D,E,18,3,2,90
10,SRC_PAS_V83,MRN10010,PRF10,Case note 10 - WILSON,10,C70009,D,D,18,3,2,90
11,SRC_PAS_V83,MRN10011,PRF11,Case note 11 - HARRIS,11,C70000,P,D,18,3,2,90
12,SRC_PAS_V83,MRN10012,PRF12,Case note 12 - MARTIN,12,C70001,P,D,18,3,2,90
13,SRC_PAS_V83,MRN10013,PRF13,Case note 13 - THOMPSON,13,C70002,P,E,18,3,2,90
14,SRC_PAS_V83,MRN10014,PRF14,Case note 14 - GARCIA,14,C70003,D,E,18,3,2,90
15,SRC_PAS_V83,MRN10015,PRF15,Case note 15 - MARTINEZ,15,C70004,D,D,18,3,2,90
16,SRC_PAS_V83,MRN10016,PRF16,Case note 16 - ROBINSON,16,C70005,D,D,18,3,2,90
17,SRC_PAS_V83,MRN10017,PRF17,Case note 17 - CLARK,17,C70006,D,D,18,3,2,90
18,SRC_PAS_V83,MRN10018,PRF18,Case note 18 - LEWIS,18,C70007,D,E,18,3,2,90
19,SRC_PAS_V83,MRN10019,PRF19,Case note 19 - LEE,19,C70008,D,D,18,3,2,90
20,SRC_PAS_V83,MRN10020,PRF20,Case note 20 - WALKER,20,C70009,P,D,18,3,2,90
