target_table,source_table,rows_written,columns_total,columns_populated,mapped_fields,column_population_ratio
LOAD_ADT_ADMISSIONS,ADMITDISCH,20,25,21,25,0.84
LOAD_ADT_ARCHIVE,ADMITDISCH,20,92,53,92,0.5761
LOAD_ADT_CODING,FCEEXT,20,7,6,7,0.8571
LOAD_ADT_EPISODES,FCEEXT,20,9,6,9,0.6667
LOAD_ADT_WARDSTAYS,ADMITDISCH,20,18,14,18,0.7778
LOAD_CASENOTELOCS,LOCATIONCODES,20,12,9,12,0.75
LOAD_CMTY_APPOINTMENTS,HWSAPP,20,48,35,48,0.7292
LOAD_CPA_ARCHIVE,ADTLADDCOR,20,17,6,17,0.3529
LOAD_DETENTION_ARCHIVE,LEGALSTATUSDETS,20,18,7,18,0.3889
LOAD_IWL,WLCURRENT,20,33,25,33,0.7576
LOAD_IWL_DEFERRALS,ADMITDISCH,20,7,6,7,0.8571
LOAD_IWL_PROFILES,SYNTHETIC,20,13,8,13,0.6154
LOAD_IWL_TCIS,WLACTIVITY,20,18,16,18,0.8889
LOAD_MH_CPA_HISTORY,SMREPISODE,20,10,8,10,0.8
LOAD_MH_CPA_MASTER,SMREPISODE,20,9,7,9,0.7778
LOAD_MH_DETENTION_MASTER,CPSGREFERRAL,20,9,8,9,0.8889
LOAD_MH_DETENTION_TRANSFERS,LEGALSTATUSDETS,20,17,14,17,0.8235
LOAD_OPDWAITLIST,OPA,20,27,22,27,0.8148
LOAD_OPDWAITLISTDEF,CONSWARDSTAY,20,8,7,8,0.875
LOAD_OPD_APPOINTMENTS,OPA,20,34,26,34,0.7647
LOAD_OPD_ARCHIVE,OPA,20,81,50,81,0.6173
LOAD_OPD_CODING,OPA,20,8,7,8,0.875
LOAD_PMI,PATDATA,20,89,54,89,0.6067
LOAD_PMIADDRS,PATDATA,20,19,14,19,0.7368
LOAD_PMIALIASES,PATDATA,20,11,10,11,0.9091
LOAD_PMIALLERGIES,ADMITDISCH,20,9,6,9,0.6667
LOAD_PMICASENOTEHISTORY,PATDATA,20,15,12,15,0.8
LOAD_PMICONTACTS,PATDATA,20,23,16,23,0.6957
LOAD_PMIGPAUDIT,GPHISTORY,20,7,6,7,0.8571
LOAD_PMIIDS,SYNTHETIC,20,8,6,8,0.75
LOAD_PMISTAFFWARNINGS,ADMITDISCH,20,9,6,9,0.6667
LOAD_REFERRALS,OPREFERRAL,20,30,22,30,0.7333
LOAD_RTT_EVENTS,OPREFERRAL,20,12,9,12,0.75
LOAD_RTT_PATHWAYS,CONSWARDSTAY,20,11,10,11,0.9091
LOAD_RTT_PERIODS,WLCURRENT,20,12,10,12,0.8333
LOAD_SITES,SYNTHETIC,20,18,9,18,0.5
LOAD_STAFF,SYNTHETIC,20,43,23,43,0.5349
LOAD_USERS,SYNTHETIC,20,44,23,44,0.5227
