target_table,target_field,mapping_class,primary_source_table,primary_source_field,mapping_rule,confidence,notes
LOAD_ADT_ADMISSIONS,ward,DIRECT_SOURCE,ADMITDISCH,AdmWard,ADMITDISCH.AdmWard -> LOAD_ADT_ADMISSIONS.ward,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,tci_outcome,LOOKUP_TRANSLATION,AEDIARY,Outcome,AEDIARY.Outcome -> LOAD_ADT_ADMISSIONS.tci_outcome,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ADMISSIONS,cancelled_date,DIRECT_SOURCE,OCCANCEL,DateCancelled,OCCANCEL.DateCancelled -> LOAD_ADT_ADMISSIONS.cancelled_date,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,record_number,SURROGATE_ETL,,,Generate during ETL sequencing and key orchestration.,HIGH,
LOAD_ADT_ADMISSIONS,loadiwl_record_number,SURROGATE_ETL,,,Generate during ETL sequencing and key orchestration.,HIGH,
LOAD_ADT_ADMISSIONS,system_code,SURROGATE_ETL,,,Generate during ETL sequencing and key orchestration.,HIGH,
LOAD_ADT_ADMISSIONS,external_system_id,SURROGATE_ETL,,,Generate during ETL sequencing and key orchestration.,HIGH,
LOAD_ADT_ADMISSIONS,main_crn_type,LOOKUP_TRANSLATION,CONTR,CidType,CONTR.CidType -> LOAD_ADT_ADMISSIONS.main_crn_type,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ADMISSIONS,main_crn,DIRECT_SOURCE,ADMITDISCH,InternalPatientNumber,ADMITDISCH.InternalPatientNumber -> LOAD_ADT_ADMISSIONS.main_crn,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,ref_gp_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ADMISSIONS.ref_gp_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ADMISSIONS,ref_practice_code,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ADMISSIONS.ref_practice_code,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ADMISSIONS,ref_practice_postcode,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ADMISSIONS.ref_practice_postcode,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ADMISSIONS,intended_management,DERIVED,CPSCPADLPROBGOAL,G,CPSCPADLPROBGOAL.G -> LOAD_ADT_ADMISSIONS.intended_management,MEDIUM,Derived/constructed field from source clinical context.
LOAD_ADT_ADMISSIONS,wl_date,DIRECT_SOURCE,ADMITDISCH,WlDateCcyy,ADMITDISCH.WlDateCcyy -> LOAD_ADT_ADMISSIONS.wl_date,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,admit_date,DIRECT_SOURCE,ADMITDISCH,AdmissionDate,ADMITDISCH.AdmissionDate -> LOAD_ADT_ADMISSIONS.admit_date,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,estimated_discharge_date,DIRECT_SOURCE,ADMITDISCH,DischargeDate,ADMITDISCH.DischargeDate -> LOAD_ADT_ADMISSIONS.estimated_discharge_date,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,ge_date,OUT_OF_SCOPE,,,Exclude: parse artefact field from non-authoritative PDF conversion.,HIGH,
LOAD_ADT_ADMISSIONS,admit_from,DIRECT_SOURCE,ADMITDISCH,SourceOfAdm,ADMITDISCH.SourceOfAdm -> LOAD_ADT_ADMISSIONS.admit_from,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,admitted_by,DIRECT_SOURCE,ADMITDISCH,Consultant,ADMITDISCH.Consultant -> LOAD_ADT_ADMISSIONS.admitted_by,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,discharge_date,DIRECT_SOURCE,ADMITDISCH,DischargeDate,ADMITDISCH.DischargeDate -> LOAD_ADT_ADMISSIONS.discharge_date,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,ge_typee,OUT_OF_SCOPE,,,Exclude: parse artefact field from non-authoritative PDF conversion.,HIGH,
LOAD_ADT_ADMISSIONS,ged,OUT_OF_SCOPE,,,Exclude: parse artefact field from non-authoritative PDF conversion.,HIGH,
LOAD_ADT_ADMISSIONS,ge_toe,OUT_OF_SCOPE,,,Exclude: parse artefact field from non-authoritative PDF conversion.,HIGH,
LOAD_ADT_ADMISSIONS,discharged_by,DIRECT_SOURCE,ADMITDISCH,Consultant,ADMITDISCH.Consultant -> LOAD_ADT_ADMISSIONS.discharged_by,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,ged_by_staff_id,DIRECT_SOURCE,CPFCLINEFFDATA,Id,CPFCLINEFFDATA.Id -> LOAD_ADT_ADMISSIONS.ged_by_staff_id,MEDIUM,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,source_of_admission,DIRECT_SOURCE,ADMITDISCH,SourceOfAdm,ADMITDISCH.SourceOfAdm -> LOAD_ADT_ADMISSIONS.source_of_admission,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,method_of_admission,DIRECT_SOURCE,ADMITDISCH,MethodOfAdmission,ADMITDISCH.MethodOfAdmission -> LOAD_ADT_ADMISSIONS.method_of_admission,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,method_of_discharge,DIRECT_SOURCE,ADMITDISCH,MethodOfDischarge,ADMITDISCH.MethodOfDischarge -> LOAD_ADT_ADMISSIONS.method_of_discharge,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,destination_on_discharge,DIRECT_SOURCE,ADMITDISCH,DestinationOnDischarge,ADMITDISCH.DestinationOnDischarge -> LOAD_ADT_ADMISSIONS.destination_on_discharge,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,admission_outcome,LOOKUP_TRANSLATION,AEDIARY,Outcome,AEDIARY.Outcome -> LOAD_ADT_ADMISSIONS.admission_outcome,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ADMISSIONS,admission_type,LOOKUP_TRANSLATION,CONTR,Type,CONTR.Type -> LOAD_ADT_ADMISSIONS.admission_type,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ADMISSIONS,physical_discharge_date,DIRECT_SOURCE,ADMITDISCH,DischargeDate,ADMITDISCH.DischargeDate -> LOAD_ADT_ADMISSIONS.physical_discharge_date,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ADMISSIONS,admit_type,LOOKUP_TRANSLATION,CONTR,Type,CONTR.Type -> LOAD_ADT_ADMISSIONS.admit_type,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ADMISSIONS,consultant_code,LOOKUP_TRANSLATION,ADMITDISCH,Consultant,ADMITDISCH.Consultant -> LOAD_ADT_ADMISSIONS.consultant_code,HIGH,Code/value translation required against PAS code sets.
LOAD_ADT_ADMISSIONS,consultant_name,DIRECT_SOURCE,ADMITDISCH,Consultant,ADMITDISCH.Consultant -> LOAD_ADT_ADMISSIONS.consultant_name,HIGH,Direct field transfer from source with datatype/format normalization.
LOAD_ADT_ARCHIVE,procedure_10_desc,DERIVED,CPSCPADLPROB,P,CPSCPADLPROB.P -> LOAD_ADT_ARCHIVE.procedure_10_desc,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,comments,DERIVED,ADMITDISCH,Comment,ADMITDISCH.Comment -> LOAD_ADT_ARCHIVE.comments,HIGH,Derived/constructed field from source clinical context.
LOAD_ADT_ARCHIVE,encounter_type,LOOKUP_TRANSLATION,CONTR,Type,CONTR.Type -> LOAD_ADT_ARCHIVE.encounter_type,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,crn,DERIVED,CANCERREGLINK,CrnCancerRegPatientCodingMraNumber,CANCERREGLINK.CrnCancerRegPatientCodingMraNumber -> LOAD_ADT_ARCHIVE.crn,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,of_birth,DERIVED,PATDATA,InternalDateOfBirth,PATDATA.InternalDateOfBirth -> LOAD_ADT_ARCHIVE.of_birth,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,sex,DERIVED,FCEEXT,Sex,FCEEXT.Sex -> LOAD_ADT_ARCHIVE.sex,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,pat_name_1,DERIVED,FCEEXT,Forenames,FCEEXT.Forenames -> LOAD_ADT_ARCHIVE.pat_name_1,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,pat_name_family,DERIVED,FCEEXT,Surname,FCEEXT.Surname -> LOAD_ADT_ARCHIVE.pat_name_family,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,address_1,DERIVED,AEATYPEINC,EdEstAddress1,AEATYPEINC.EdEstAddress1 -> LOAD_ADT_ARCHIVE.address_1,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,address_2,DERIVED,AEATYPEINC,EdEstAddress2,AEATYPEINC.EdEstAddress2 -> LOAD_ADT_ARCHIVE.address_2,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,address_3,DERIVED,AEATYPEINC,EdEstAddress3,AEATYPEINC.EdEstAddress3 -> LOAD_ADT_ARCHIVE.address_3,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,address_4,DERIVED,AEATYPEINC,EdEstAddress4,AEATYPEINC.EdEstAddress4 -> LOAD_ADT_ARCHIVE.address_4,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,address_5,DERIVED,GDP,Address,GDP.Address -> LOAD_ADT_ARCHIVE.address_5,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,post_code,LOOKUP_TRANSLATION,FCEEXT,Postcode,FCEEXT.Postcode -> LOAD_ADT_ARCHIVE.post_code,HIGH,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,district,DERIVED,ADMITDISCH,DistrictNumber,ADMITDISCH.DistrictNumber -> LOAD_ADT_ARCHIVE.district,HIGH,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,pct_codepct,LOOKUP_TRANSLATION,AEACCBY,Code,AEACCBY.Code -> LOAD_ADT_ARCHIVE.pct_codepct,MEDIUM,Code/value translation required against PAS code sets.
LOAD_ADT_ARCHIVE,contract_number,DERIVED,,,Assemble from multi-table joins (transactional + lookup + historical contexts).,MEDIUM,Explicit archive synthesis mapping required.
LOAD_ADT_ARCHIVE,purchaser_ref,DERIVED,ALLOCATEDCONTRACT,PurchaserRef,ALLOCATEDCONTRACT.PurchaserRef -> LOAD_ADT_ARCHIVE.purchaser_ref,MEDIUM,Archive structure is denormalized and assembled from multiple source entities.
LOAD_ADT_ARCHIVE,provider_code,LOOKUP_TRANSLATION,FCEEXT,ProviderCode,FCEEXT.ProviderCode -> LOAD_ADT_ARCHIVE.provider_code,HIGH,Code/value translation required against PAS code sets.
