target_table,target_field,best_source_table,best_source_field,score,status,source_in_13_priority,source_in_target_hint_tables,notes
LOAD_ADT_ADMISSIONS,ward,WLENTRY,Ward,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_ADT_ADMISSIONS,tci_outcome,CPSGREFERRAL,Outcome,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ADMISSIONS,cancelled_date,OCCANCEL,DateCancelled,1.000,HIGH_CONFIDENCE,N,N,
LOAD_ADT_ADMISSIONS,record_number,WLENTRY,DistrictNumber,0.443,SYSTEM_FIELD,Y,Y,
LOAD_ADT_ADMISSIONS,loadiwl_record_number,WLENTRY,DistrictNumber,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ADMISSIONS,system_code,AEACCBY,Code,0.500,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_ADT_ADMISSIONS,external_system_id,WLENTRY,ContractID,0.360,SYSTEM_FIELD,Y,Y,
LOAD_ADT_ADMISSIONS,main_crn_type,PATCHANGEBYDATE,Internalpatientnumber,0.600,LOW_CONFIDENCE,N,N,Best candidate is outside the 13 priority source tables.
LOAD_ADT_ADMISSIONS,main_crn,PATCHANGEBYDATE,Internalpatientnumber,1.000,HIGH_CONFIDENCE,N,N,
LOAD_ADT_ADMISSIONS,ref_gp_code,FCEEXT,GpCode,0.697,LOW_CONFIDENCE,Y,N,
LOAD_ADT_ADMISSIONS,ref_practice_code,FCEEXT,PracticeCode,0.697,LOW_CONFIDENCE,Y,N,
LOAD_ADT_ADMISSIONS,ref_practice_postcode,OPTICIAN,PracticePostcode,0.667,LOW_CONFIDENCE,N,N,Best candidate is outside the 13 priority source tables.
LOAD_ADT_ADMISSIONS,intended_management,WLENTRY,IntendedProc,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_ADT_ADMISSIONS,wl_date,WLENTRY,WlBreachDate,0.827,PROBABLE,Y,Y,
LOAD_ADT_ADMISSIONS,admit_date,CONSWARDSTAY,AdmitDate,1.000,HIGH_CONFIDENCE,N,N,
LOAD_ADT_ADMISSIONS,estimated_discharge_date,ADMITDISCH,DischargeDate,0.827,PROBABLE,Y,Y,
LOAD_ADT_ADMISSIONS,ge_date,WLENTRY,AdmissionDate,0.493,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
