table_name,field_name,size,data_element,description,logical_delete_flag,released_at
ADMISSIONMANAGEMENT,AdmissionDateTime,16,A0372,5.1,0,5.1
ADMISSIONMANAGEMENT,AdmissionDateTimeInt,12,A0372A,5.1,0,5.1
ADMISSIONMANAGEMENT,Consultant,6,A0430,5.1,0,5.1
ADMISSIONMANAGEMENT,DischargeDateTime,16,A0348,5.1,0,5.1
ADMISSIONMANAGEMENT,DischargeDateTimeInt,12,A0348A,5.1,0,5.1
ADMISSIONMANAGEMENT,EpisodeNumber,9,A0142,5.1,0,5.1
ADMISSIONMANAGEMENT,ExpDateofDischarge,16,A0306,5.1,0,5.1
ADMISSIONMANAGEMENT,ExpDateofDischInt,12,A0306A,5.1,0,5.1
ADMISSIONMANAGEMENT,InternalPatientNumber,9,A0000,5.1,0,5.1
ADMISSIONMANAGEMENT,JointCons,6,A0485,5.1,0,5.1
ADMISSIONMANAGEMENT,JointSpecialty,4,A0549,5.1,0,5.1
ADMISSIONMANAGEMENT,LoSADExpected,3,A0312I,5.1,0,5.1
ADMISSIONMANAGEMENT,LoSPADExpected,3,A0312P,5.1,0,5.1
ADMISSIONMANAGEMENT,LoSWLExpected,3,A0312W,5.1,0,5.1
ADMISSIONMANAGEMENT,Specialty,4,A0431,5.1,0,5.1
ADMITDISCH,A1stRegDaynightAdm,3,C8498,First of a series of regular day/night adms,,1.0
ADMITDISCH,AccidentCode,1,A0358,,,1.0
ADMITDISCH,AdmEROD,10,R9111,Earliest Reasonable Offer Date for Admission,0,PC31
ADMITDISCH,AdmERODInt,12,R9111A,Earliest Reasonable Offer Date for Admission Inter,0,PC31
ADMITDISCH,AdmissionDate,16,A0372,,,1.0
ADMITDISCH,AdmissionTime,10,A3045B,,,1.0
ADMITDISCH,AdmReason,60,A0309,,,1.0
ADMITDISCH,AdmWard,4,A0429,,,1.0
ADMITDISCH,Bed,4,A9412,,,1.0
ADMITDISCH,BenefitCode,1,C0144,,,1.0
ADMITDISCH,Br409Required,3,A0329,,,1.0
ADMITDISCH,CaseNoteNumber,14,C0160,,,1.0
ADMITDISCH,Category,3,A0432,,,1.0
ADMITDISCH,Comment,30,C0195,,,1.0
ADMITDISCH,Consultant,6,A0430,,,1.0
ADMITDISCH,ConToInfEmployer,1,R9654,8.2,0,8.2
ADMITDISCH,DateBR409Sent,10,A0337,,,1.0
ADMITDISCH,DateOnWl,8,C0197,,,3.1
ADMITDISCH,DecisionToRefer,10,C1200,,0,4.2
ADMITDISCH,DestinationOnDischarge,2,C0206A,,,1.0
ADMITDISCH,DischargeDate,16,A0348,,,1.0
ADMITDISCH,DischargeTime,10,A3045,,,1.0
ADMITDISCH,DischWard,4,A0441,,,1.0
ADMITDISCH,DistrictNumber,14,A0007C,,,1.0
ADMITDISCH,EpiGPCode,8,H7621,,,2.0
ADMITDISCH,EpiGPPracticeCode,6,C7046,,,2.0
ADMITDISCH,EpiOptCode,8,R9415,6.0,0,6.0
ADMITDISCH,EpiOptPracticeCode,3,R9398,6.0,0,6.0
ADMITDISCH,EpisodeNumber,9,A0142,,,1.0
ADMITDISCH,EpsCurrActvSts,11,A0162,Current Episode Status,,1.0
ADMITDISCH,ExpDateofDischarge,16,A0306,Expected Date of Discharge,0,PC31
ADMITDISCH,ExpDateofDischInt,12,A0306A,Expected Date of Discharge Internal,0,PC31
ADMITDISCH,ExpectedLos,3,A0312,,,1.0
ADMITDISCH,HospCode,4,A0428,,,1.0
ADMITDISCH,HRGCode,5,A5706,HRG Code,0,4.3
ADMITDISCH,IntdMgmt,1,A0311,,,1.0
ADMITDISCH,InternalPatientNumber,9,A0000,,,1.0
ADMITDISCH,IpAdmDtimeInt,12,A0372A,Admission Date/Time - format CCYYMMDDHHMM,,1.0
ADMITDISCH,IpDschDtimeInt,12,A0348A,Discharge Date/Time - format CCYYMMDDHHMM,,1.0
ADMITDISCH,JointCons,6,A0485,,,1.0
ADMITDISCH,JointSpec,4,A0549,,,1.0
ADMITDISCH,LivestillBirth,5,C4572,,,1.0
ADMITDISCH,Lodger,3,A0313,,,1.0
ADMITDISCH,MethodOfAdmission,2,C0211A,,,1.0
ADMITDISCH,MethodOfDischarge,2,A0362,,,1.0
ADMITDISCH,NHSEmployee,1,R9650,8.2,0,8.2
ADMITDISCH,NHSEmployeeRole,30,R9653,8.2,0,8.2
ADMITDISCH,NHSEmployerOrg,30,R9651,8.2,0,8.2
ADMITDISCH,Operation,60,A0310,,,1.0
ADMITDISCH,OsvStatus,1,C8421,,,1.0
ADMITDISCH,Outlier,1,H7505A,,,1.0
ADMITDISCH,PatientProcedureDescription2,60,C8709,6.0,0,6.0
ADMITDISCH,ReasonForReferral,4,C1199,,0,4.2
ADMITDISCH,Referral,1,C0196,,,1.0
ADMITDISCH,ReportDelayCode,4,R1571,Report Delay Code,0,PC42
