table_name,field_name,raw_field_name,data_type,length,mandatory_hint,parse_confidence,source_page
LOAD_STAFF,record_number,record_number,NUMBER,42,N,1.00,6
LOAD_STAFF,system_code,system_code,VARCHAR2,10,N,1.00,6
LOAD_STAFF,external_system_id,external_system_id,VARCHAR2,100,N,1.00,6
LOAD_STAFF,user_name,user_name,VARCHAR2,20,N,1.00,6
LOAD_STAFF,first_name,first_nameFore,VARCHAR2,40,N,0.85,6
LOAD_STAFF,middle_name,middle_nameFore,VARCHAR2,40,N,0.85,7
LOAD_STAFF,family_name,family_nameFamily,VARCHAR2,40,N,0.85,7
LOAD_STAFF,acters,acters,CHAR,,N,1.00,7
LOAD_STAFF,job_id,job_idMust,NUMBER,6,Y,0.85,7
LOAD_STAFF,password,passwordPassword,VARCHAR2,80,N,0.85,7
LOAD_STAFF,psswd_life_months,psswd_life_monthsMust,NUMBER,6,Y,0.85,7
LOAD_STAFF,psswd_expiry_date,psswd_expiry_dateDate,DATE,,N,0.85,7
LOAD_STAFF,language_id,NUMBER2language_idLanguage,DATE,,N,0.85,7
LOAD_STAFF,staff_id,staff_idMust,VARCHAR2,10,Y,0.85,7
LOAD_STAFF,default_parts_entity,default_parts_entityMust,VARCHAR2,10,Y,0.85,7
LOAD_STAFF,default_tools_entity,default_tools_entityMust,VARCHAR2,10,Y,0.85,8
LOAD_STAFF,default_labour_entity,default_labour_entityMust,VARCHAR2,10,Y,0.85,8
LOAD_STAFF,employee_flag,employee_flagMust,VARCHAR2,1,Y,0.85,8
LOAD_STAFF,default_stock_entity,default_stock_entityMust,VARCHAR2,10,Y,0.85,8
LOAD_STAFF,staff_security_level,staff_security_levelMaps,VARCHAR2,80,N,0.85,8
LOAD_STAFF,phone_no,phone_noUsers,VARCHAR2,20,N,0.85,8
LOAD_STAFF,extension_no,extension_noUsers,VARCHAR2,5,N,0.85,8
LOAD_STAFF,default_login_entity,default_login_entityDefault,VARCHAR2,10,N,0.85,8
LOAD_STAFF,eoasis_user,eoasis_userMust,VARCHAR2,1,Y,0.85,9
LOAD_STAFF,allow_logon,allow_logonControls,VARCHAR2,1,N,0.85,9
LOAD_STAFF,default_executable,default_executableDefault,VARCHAR2,10,N,0.85,9
LOAD_STAFF,gp_national_code,gp_national_codeNational,VARCHAR2,10,N,0.85,9
LOAD_STAFF,type_of_user,type_of_userType,VARCHAR2,80,N,0.85,9
LOAD_STAFF,login_from_date,login_from_dateDate,DATE,10,N,0.85,9
LOAD_STAFF,login_to_date,DATE10login_to_dateDate,DATE,,N,0.85,9
LOAD_STAFF,practice_national_code,VARCHAR210practice_national_codeNational,DATE,,N,0.85,9
LOAD_STAFF,email_address,email_addressUsers,VARCHAR2,80,N,0.85,9
LOAD_STAFF,can_log_support_calls,can_log_support_callsLegacy,VARCHAR2,1,N,0.85,9
LOAD_STAFF,ask_review_warnings,ask_review_warningsMust,VARCHAR2,1,Y,0.85,10
LOAD_STAFF,from_time,from_timeTime,NUMBER,4,N,0.85,10
LOAD_STAFF,to_time,to_timeTime,NUMBER,4,N,0.85,10
LOAD_STAFF,mon_allowed,mon_allowedMust,VARCHAR2,1,Y,0.85,10
LOAD_STAFF,tue_allowed,tue_allowedMust,VARCHAR2,1,Y,0.85,10
LOAD_STAFF,wed_allowed,wed_allowedMust,VARCHAR2,1,Y,0.85,10
LOAD_STAFF,thu_allowed,thu_allowedMust,VARCHAR2,1,Y,0.85,10
LOAD_STAFF,fri_allowed,fri_allowedMust,VARCHAR2,1,Y,0.85,10
LOAD_STAFF,sat_allowed,sat_allowedMust,VARCHAR2,1,Y,0.85,10
LOAD_STAFF,sun_allowed,sun_allowedMust,VARCHAR2,1,Y,0.85,10
LOAD_USERS,default_team,default_teamMaps,VARCHAR2,80,N,0.85,11
LOAD_USERS,client_user,client_userMaps,VARCHAR2,80,N,0.85,11
LOAD_USERS,record_number,record_number,NUMBER,42,N,1.00,11
LOAD_USERS,system_code,system_code,VARCHAR2,10,N,1.00,11
LOAD_USERS,external_system_id,external_system_id,VARCHAR2,100,N,1.00,11
LOAD_USERS,user_name,user_name,VARCHAR2,20,N,1.00,11
LOAD_USERS,first_name,first_nameFore,VARCHAR2,40,N,0.85,11
LOAD_USERS,middle_name,middle_nameFore,VARCHAR2,40,N,0.85,11
LOAD_USERS,family_name,family_nameFamily,VARCHAR2,40,N,0.85,12
LOAD_USERS,acters,acters,CHAR,,N,1.00,12
LOAD_USERS,job_id,job_idMust,NUMBER,6,Y,0.85,12
LOAD_USERS,psswd_life_months,psswd_life_monthsMust,NUMBER,6,Y,0.85,12
LOAD_USERS,psswd_expiry_date,psswd_expiry_dateDate,DATE,,N,0.85,12
LOAD_USERS,language_id,NUMBER2language_idLanguage,DATE,,N,0.85,12
LOAD_USERS,staff_id,staff_idMust,VARCHAR2,10,Y,0.85,12
LOAD_USERS,default_parts_entity,default_parts_entityMust,VARCHAR2,10,Y,0.85,12
LOAD_USERS,default_tools_entity,default_tools_entityMust,VARCHAR2,10,Y,0.85,12
LOAD_USERS,default_labour_entity,default_labour_entityMust,VARCHAR2,10,Y,0.85,13
LOAD_USERS,employee_flag,employee_flagMust,VARCHAR2,1,Y,0.85,13
LOAD_USERS,default_stock_entity,default_stock_entityMust,VARCHAR2,10,Y,0.85,13
LOAD_USERS,staff_security_level,staff_security_levelMaps,VARCHAR2,80,N,0.85,13
LOAD_USERS,phone_no,phone_noUsers,VARCHAR2,20,N,0.85,13
LOAD_USERS,extension_no,extension_noUsers,VARCHAR2,5,N,0.85,13
LOAD_USERS,default_login_entity,default_login_entityDefault,VARCHAR2,10,N,0.85,13
LOAD_USERS,eoasis_user,eoasis_userMust,VARCHAR2,1,Y,0.85,13
LOAD_USERS,allow_logon,allow_logonControls,VARCHAR2,1,N,0.85,14
LOAD_USERS,default_executable,default_executableDefault,VARCHAR2,10,N,0.85,14
LOAD_USERS,gp_national_code,gp_national_codeNational,VARCHAR2,10,N,0.85,14
LOAD_USERS,type_of_user,type_of_userType,VARCHAR2,80,N,0.85,14
LOAD_USERS,login_from_date,login_from_dateDate,DATE,10,N,0.85,14
LOAD_USERS,login_to_date,DATE10login_to_dateDate,DATE,,N,0.85,14
LOAD_USERS,practice_national_code,VARCHAR210practice_national_codeNational,DATE,,N,0.85,14
LOAD_USERS,email_address,email_addressUsers,VARCHAR2,80,N,0.85,14
LOAD_USERS,can_log_support_calls,can_log_support_callsLegacy,VARCHAR2,1,N,0.85,14
LOAD_USERS,ask_review_warnings,ask_review_warningsMust,VARCHAR2,1,Y,0.85,14
LOAD_USERS,from_time,from_timeTime,NUMBER,4,N,0.85,15
LOAD_USERS,to_time,to_timeTime,NUMBER,4,N,0.85,15
